Updated SL,12,CHOLAFIN,685,2025-01-02,1244.75,1269.645
BUY,8,BAJAJFINSV,16675,2025-01-02,1673.05,1622.8585
BUY,2,EICHERMOT,910,2025-01-02,5192.2,5036.434
BUY,2,BAJFINANCE,317,2025-01-02,7365.0,7144.05
BUY,8,BAJAJFINSV,16675,2025-01-02,1709.7,1658.409
BUY,64,ASHOKLEY,212,2025-01-02,233.39,226.3883
BUY,2,BAJFINANCE,317,2025-01-02,7403.2,7181.104
BUY,8,BAJAJFINSV,16675,2025-01-02,1696.0,1645.12
BUY,2,EICHERMOT,910,2025-01-02,5296.35,5137.4595
BUY,2,BAJFINANCE,317,2025-01-02,7393.25,7171.4525
BUY,8,BAJAJFINSV,16675,2025-01-02,1700.15,1649.1455
BUY,2,EICHERMOT,910,2025-01-02,5305.8,5146.626
BUY,54,M&MFIN,13285,2025-01-02,276.55,268.25350000000003
